0,0,0
1394.6,142.35,290.374
645.796,289.743,81.6766
437.554,279.424,76.627
-29.8481,890.743,342.406
1352.04,897.728,781.355
-942.076,1082.46,617.007
-64.8141,1249.48,1179.61
576.226,1203.65,1519.92
367.958,1199.21,1500.92
-190.599,888.956,1545.03
283.991,894.621,2095.73
-912.459,830.991,1952.25
1296.4,627.043,2154.54
699.507,341.413,2063.01
54.4876,384.691,2047.63
0,0,0
233.885,44.4198,2459.08
-909.641,40.4678,2276.35
498.572,-237.631,2471.08
307.416,-244.938,2433.84
-190.704,-258.845,2111.75
-148.368,-827.248,2110.19
1312.08,-800.834,1929.78
-1047.73,-1018.08,1758.72
-92.8453,-1218.54,1290.69
1316.26,-1011.29,1134.39
618.967,-1168.39,1017.58
388.79,-1166.76,999.688
-42.0441,-909.346,388.022
-933.082,-550.785,151.516
-1184.56,-336.121,1306.13
